,city,cloudiness,country,date,humidity,lat,long,max temp,wind speed
386,paamiut,100,GL,1588465519,86,61.99,-49.67,35.55,51.45
387,preobrazheniye,12,RU,1588465996,68,42.9,133.91,59.95,9.84
388,makakilo city,90,US,1588465570,57,21.35,-158.09,82.4,12.75
389,la ronge,90,CA,1588465827,69,55.1,-105.28,39.2,6.93
390,krasnoselkup,100,RU,1588465873,98,65.7,82.47,33.64,7.38
391,wexford,98,IE,1588465997,84,52.33,-6.46,48.99,6.26
392,leiyang,0,CN,1588465997,73,26.4,112.86,81.21,5.32
393,cap malheureux,27,MU,1588465885,88,-19.98,57.61,73.0,5.99
394,kalulushi,0,ZM,1588465997,64,-12.84,28.09,59.25,3.74
395,isla vista,1,US,1588465997,26,34.41,-119.86,84.2,19.46
396,hualmay,31,PE,1588465869,82,-11.1,-77.61,68.25,8.28
397,robertsport,77,LR,1588465998,84,6.75,-11.37,81.55,7.05
398,uyuni,53,BO,1588465998,13,-20.46,-66.83,52.03,4.63
399,half moon bay,75,US,1588465998,63,37.46,-122.43,69.01,12.75
400,labuhan,100,ID,1588465538,85,-6.88,112.21,78.71,6.11
401,arman,100,RU,1588465873,79,59.7,150.17,36.21,29.51
402,de aar,0,ZA,1588465999,25,-30.65,24.01,56.53,4.59
403,liverpool,20,GB,1588465840,87,53.41,-2.98,46.4,2.24
404,asau,15,RO,1588465517,84,46.43,26.4,53.01,4.07
405,port hardy,90,CA,1588465535,87,50.7,-127.42,48.2,8.05
406,bundaberg,35,AU,1588465510,42,-24.85,152.35,70.0,10.29
407,port macquarie,0,AU,1588465561,47,-31.43,152.92,64.0,5.01
408,red bank,1,US,1588466000,37,40.35,-74.06,66.99,5.82
409,hobyo,100,SO,1588466000,72,5.35,48.53,85.57,14.9
410,otradnoye,100,RU,1588465846,57,59.78,30.82,50.0,8.95
411,bilibino,0,RU,1588465524,84,68.05,166.44,30.24,2.68
412,cherskiy,95,RU,1588465527,96,68.75,161.3,33.57,2.62
413,shahrud,100,IR,1588466000,33,36.42,54.98,61.18,8.28
414,severnyy,0,RU,1588465566,66,50.68,36.55,55.4,2.24
415,aklavik,75,CA,1588465851,67,68.22,-135.01,23.0,11.41
416,kodinsk,100,RU,1588466001,83,58.69,99.18,44.64,6.13
417,broken hill,2,AU,1588466001,66,-31.95,141.43,50.0,16.11
418,kasongo,100,CD,1588466001,81,-4.45,26.67,69.66,1.86
419,sabang,63,ID,1588466001,74,5.89,95.32,82.98,12.3
420,seryshevo,2,RU,1588466001,50,51.09,128.38,42.58,14.27
421,torbat-e jam,0,IR,1588466002,48,35.24,60.62,64.83,2.21
422,ostrovnoy,60,RU,1588465568,92,68.05,39.51,27.52,11.45
423,nurota,0,UZ,1588466002,77,40.56,65.69,62.6,9.17
424,tarime,100,TZ,1588465525,64,-1.35,34.37,61.34,3.24
425,margate,15,GB,1588465561,73,51.38,1.39,48.0,1.99
426,khowst,1,AF,1588466002,25,33.38,69.88,73.4,4.7
427,ribeira grande,80,PT,1588465518,62,38.52,-28.7,59.05,9.95
428,eyl,67,SO,1588466003,75,7.98,49.82,84.9,4.92
429,lompoc,1,US,1588465560,68,34.64,-120.46,64.4,20.8
430,victor harbor,99,AU,1588466003,69,-35.57,138.62,57.99,5.35
431,lebanon,1,US,1588465872,44,36.21,-86.29,78.8,9.17
432,pangnirtung,98,CA,1588465537,91,66.15,-65.71,25.65,3.04
433,saint-pierre,1,RE,1588466003,68,-21.34,55.48,71.6,5.82
434,anzio,100,IT,1588466003,92,41.49,12.62,60.01,1.01
435,lucea,20,JM,1588466004,70,18.45,-78.17,84.2,8.05
436,sri aman,75,MY,1588466004,94,1.24,111.46,77.0,3.36
437,adrar,0,MR,1588465515,10,20.5,-10.07,86.63,8.46
438,burns lake,100,CA,1588466004,32,54.23,-125.75,60.58,13.0
439,antofagasta,20,CL,1588465858,77,-23.65,-70.4,60.8,10.29
440,sitka,90,US,1588465523,41,57.05,-135.33,57.2,12.75
441,nizhniy kuranakh,72,RU,1588465573,82,58.84,125.49,30.38,6.55
442,forssa,99,FI,1588466005,94,60.81,23.62,46.0,1.01
443,dekar,0,BW,1588466005,26,-21.53,21.93,59.61,2.55
444,lithgow,0,AU,1588466005,72,-33.48,150.15,46.99,6.49
445,siocon,94,PH,1588466005,60,7.71,122.14,87.01,1.59
446,santa cruz de tenerife,90,ES,1588466005,93,28.47,-16.25,62.01,9.17
447,tazmalt,79,DZ,1588466005,87,36.39,4.4,60.8,6.93
448,canazas,100,PA,1588466006,69,8.32,-81.22,78.6,5.66
449,los llanos de aridane,90,ES,1588465249,72,28.66,-17.92,68.0,4.7
450,riyadh,22,SA,1588465710,16,24.69,46.72,78.8,8.05
451,manado,20,ID,1588465910,70,1.49,124.85,86.0,2.13
452,ames,90,US,1588465939,48,42.03,-93.62,66.2,5.82
453,mackenzie,1,CA,1588466006,25,55.3,-123.17,64.4,10.29
454,klaksvik,87,FO,1588465520,80,62.23,-6.59,39.2,12.75
455,tulsa,1,US,1588465627,54,36.1,-95.9,84.2,11.41
456,hambantota,0,LK,1588466007,82,6.12,81.12,80.76,5.06
457,krasnokholm,0,RU,1588466007,65,51.6,54.16,44.56,10.6
458,menomonie,1,US,1588465802,24,44.88,-91.92,69.01,18.34
459,dabat,100,ET,1588465887,16,12.98,37.77,58.53,2.33
460,hat yai,75,TH,1588466007,100,7.01,100.48,78.8,3.36
461,shimoda,75,JP,1588465848,73,34.67,138.95,71.6,21.92
462,santa cruz cabralia,75,BR,1588465828,83,-16.28,-39.02,78.8,8.05
463,hirara,75,JP,1588466008,88,24.8,125.28,80.6,18.34
464,surt,0,LY,1588466008,57,31.21,16.59,67.21,5.95
465,chengdu,1,CN,1588465869,73,30.67,104.07,80.01,3.15
466,ferme-neuve,100,CA,1588466008,73,46.7,-75.45,49.86,4.32
467,anuradhapura,0,LK,1588466009,90,8.36,80.42,77.77,2.66
468,thinadhoo,100,MV,1588465509,75,0.53,72.93,85.5,15.46
469,ratnagiri,27,IN,1588466009,84,16.98,73.3,81.23,7.76
470,el dorado,1,US,1588466009,54,33.21,-92.67,82.4,8.05
471,zabolotovka,28,RU,1588466009,85,50.27,39.31,53.78,6.82
472,port keats,52,AU,1588466010,31,-14.25,129.55,75.72,13.58
473,roald,100,NO,1588465579,93,62.58,6.13,44.01,3.36
474,tigil,100,RU,1588466010,60,57.8,158.67,43.54,19.8
475,aykhal,93,RU,1588465986,49,66.0,111.5,26.6,4.47
476,chiredzi,0,ZW,1588466010,54,-21.05,31.67,59.88,2.91
477,oum hadjer,0,TD,1588466010,22,13.3,19.7,80.92,1.43
478,chak,13,PK,1588466010,45,27.86,68.83,86.0,3.33
479,sorland,100,NO,1588465503,94,67.67,12.69,37.99,8.88
480,sur,0,OM,1588465885,55,22.57,59.53,85.96,8.43
481,matabungkay,14,PH,1588466011,62,13.95,120.62,88.57,8.43
482,jieshi,18,CN,1588465581,80,22.81,115.83,77.11,9.69
483,nioro,0,GM,1588465837,53,13.35,-15.75,73.72,7.2
484,kurunegala,0,LK,1588466011,88,7.49,80.36,76.21,1.57
485,rundu,0,NA,1588466011,29,-17.93,19.77,59.7,1.61
486,rognan,100,NO,1588466012,81,67.1,15.39,39.0,2.1
487,raga,99,SS,1588466012,63,8.46,25.68,74.07,6.35
488,ribeira brava,40,PT,1588466012,77,32.65,-17.07,66.2,11.41
489,abnub,0,EG,1588466012,29,27.27,31.15,74.12,4.12
490,virden,90,US,1588466012,65,39.5,-89.77,80.01,5.7
491,nigde,94,TR,1588466013,54,37.83,34.75,43.66,4.52
492,mazara del vallo,100,IT,1588466013,88,37.66,12.59,62.6,4.7
493,rio gallegos,90,AR,1588465928,93,-51.62,-69.22,41.0,5.82
494,kununurra,93,AU,1588466013,22,-15.77,128.73,75.2,18.34
495,roma,90,US,1588465739,71,43.21,-75.46,55.4,8.05
496,atherton,98,GB,1588466014,91,53.52,-2.49,44.01,1.32
497,khilok,99,RU,1588466014,35,51.37,110.47,50.14,4.76
498,troitskoye,91,RU,1588466014,52,52.98,84.68,52.07,3.04
499,sao gabriel da cachoeira,100,BR,1588466014,93,-0.13,-67.09,75.33,2.73
500,yulara,0,AU,1588465529,55,-25.24,130.99,60.8,17.22
501,dargaville,100,NZ,1588466014,91,-35.93,173.88,64.47,13.31
502,vila franca do campo,20,PT,1588465577,82,37.72,-25.43,55.4,4.7
503,xam nua,51,LA,1588466015,45,20.42,104.04,79.39,1.97
504,keti bandar,0,PK,1588466015,85,24.14,67.45,81.34,15.39
505,road town,4,VG,1588465824,86,18.42,-64.62,80.01,13.06
506,dengzhou,4,CN,1588466015,73,37.81,120.75,65.53,9.22
507,mabaruma,4,GY,1588466015,94,8.2,-59.78,76.1,4.47
508,khudumelapye,0,BW,1588466015,37,-23.88,24.75,58.77,3.74
509,karratha,0,AU,1588465616,26,-20.74,116.85,73.58,19.91
510,fukuma,75,JP,1588466016,93,33.77,130.47,66.0,12.75
511,avanigadda,0,IN,1588466016,79,16.02,80.92,84.13,6.55
512,bose,60,IT,1588466016,45,45.46,8.01,60.01,6.89
513,kolosovka,100,RU,1588466016,75,56.47,73.61,44.42,11.79
514,andreapol,93,RU,1588466016,89,56.65,32.27,47.32,10.16
515,doha,74,QA,1588466017,62,25.29,51.53,86.0,8.05
516,vestmanna,80,FO,1588465553,80,62.16,-7.17,39.2,12.75
517,tazovskiy,100,RU,1588465849,98,67.47,78.7,26.4,7.74
518,severomuysk,100,RU,1588466017,56,56.15,113.43,26.67,3.98
519,carballo,99,ES,1588466017,80,43.21,-8.69,57.99,7.0
520,okhotsk,100,RU,1588465865,93,59.38,143.3,35.04,22.1
521,vao,4,NC,1588465539,85,-22.67,167.48,76.51,15.01
522,lexington,1,US,1588465800,53,37.99,-84.48,75.0,11.41
523,lubango,0,AO,1588466018,34,-14.92,13.49,59.5,4.61
524,kurilsk,100,RU,1588466018,68,45.23,147.88,51.28,8.84
525,la puebla del rio,88,ES,1588466018,73,37.27,-6.06,72.0,5.06
526,malanje,97,AO,1588466018,61,-9.54,16.34,65.86,2.35
527,quelimane,46,MZ,1588466018,88,-17.88,36.89,73.4,2.24
528,virginia beach,20,US,1588465403,44,36.85,-75.98,61.0,5.82
529,fortuna,90,US,1588465532,87,40.6,-124.16,57.0,4.7
530,puerto baquerizo moreno,75,EC,1588466019,83,-0.9,-89.6,78.8,5.82
531,dunedin,48,NZ,1588465553,59,-45.87,170.5,60.57,5.46
532,gualeguay,0,AR,1588466019,91,-33.14,-59.31,53.74,6.46
533,maningrida,97,AU,1588466019,54,-12.07,134.27,82.44,16.37
534,omboue,100,GA,1588466019,91,-1.57,9.26,78.94,7.65
535,gornyy,92,RU,1588466020,68,55.12,83.91,47.21,13.06
536,celestun,100,MX,1588466020,80,20.87,-90.4,80.65,17.47
537,nova olimpia,95,BR,1588465893,67,-14.8,-57.29,72.48,0.29
538,nizhniy tsasuchey,14,RU,1588466021,27,50.52,115.13,53.33,4.18
539,awash,77,ET,1588466021,46,8.98,40.17,74.91,3.49
540,tecoanapa,0,MX,1588465575,56,16.52,-98.75,85.37,7.72
541,nuuk,100,GL,1588466021,95,64.18,-51.72,39.2,29.97
542,colombia,100,CU,1588465780,68,20.99,-77.43,79.5,11.88
543,ylivieska,100,FI,1588466021,87,64.08,24.55,44.01,6.15
